
Unit Economics,,,,,,,,,,,,,,,,,,,,,Manning Cost,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, Margin ,15%,,,, Hot Kitchen Employee Cost ,,,,,,,,,,Packaging Employee Cost & QC Cost,,,,,,,,,,,,,
Sr. No.,Particular,Category,UOM," Size 
(Gm) ", Qty , Food Cost , Manning Cost , Gas Cost , Cleaning & Packaging Cost , Elecricity Cost , Rental , Maintenance , Total Cost , Logistic Cost , Total Cost Including logistic , Margin , Selling Price ,Food Cost New,Food Cost % (Old), Difference Old vs New  , Sr. No. , Particular , Batch Qty/ Por , No Of Employees Required , Total Time Required(Hr) , Total Time Required(Min) , Min per Portion ,Average Salary, Cost Per Minute , Direct Employee cost/Por ,Batch Qty,No Of Employee,Total Time (HR),Total Time (Min),Min Required per Port,Average Salary,Per Min Cost, Direct Employee cost ,Total Cost,,,,,
 1.00 ,,,Gm,1000, 1.00 , 57.67 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 82.16 , 7.50 , 89.66 , 12.32 , 101.98 ,57%,60.65%,4.09%, 1.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 2.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,53.63%,#N/A, 2.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 3.00 ,,,Gm,1000, 1.00 ,,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 24.48 , 7.50 , 31.98 , 3.67 , 35.66 ,0%,57.24%,57.24%, 3.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 4.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,55.04%,#REF!, 4.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 5.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,59.79%,#REF!, 5.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 6.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,0.00%,#N/A, 6.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 7.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,73.28%,#N/A, 7.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 8.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,72.81%,#N/A, 8.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 9.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,73.66%,#N/A, 9.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 10.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,47.74%,#N/A, 10.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 11.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,52.83%,#N/A, 11.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 12.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,0.00%,#N/A, 12.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 13.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,51.32%,#REF!, 13.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 14.00 ,,,Gm,200, 1.00 ,#N/A,2.4, 0.94 , 1.00 , 0.29 , 0.14 , 0.14 ,#N/A, 1.50 ,#N/A,#N/A,#N/A,#N/A,0.00%,#N/A, 14.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 15.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,51.87%,#REF!, 15.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 16.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,55.51%,#REF!, 16.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 17.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,53.34%,#REF!, 17.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 18.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,64.22%,#N/A, 18.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 19.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,59.96%,#N/A, 19.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 20.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,51.22%,#REF!, 20.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 21.00 ,,,Gm,1000, 1.00 , 57.70 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 82.19 , 7.50 , 89.69 , 12.33 , 102.01 ,57%,56.37%,-0.19%, 21.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 22.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,56.27%,#REF!, 22.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 23.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,0.00%,#N/A, 23.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 24.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,0.00%,#N/A, 24.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 25.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,60.15%,#N/A, 25.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 26.00 ,,,Gm,50, 1.00 ,#N/A,0.6, 0.23 , 0.25 , 0.07 , 0.03 , 0.03 ,#N/A, 0.38 ,#N/A,#N/A,#N/A,#N/A,41.96%,#N/A, 26.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 27.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,57.59%,#N/A, 27.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 28.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,70.26%,#N/A, 28.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 29.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,0.00%,#N/A, 29.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 30.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,0.00%,#N/A, 30.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 31.00 ,,,Gm,1000, 1.00 , 53.91 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 78.39 , 7.50 , 85.89 , 11.76 , 97.65 ,55%,56.39%,1.18%, 31.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 32.00 ,,,Gm,1000, 1.00 , 57.79 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 82.28 , 7.50 , 89.78 , 12.34 , 102.12 ,57%,55.27%,-1.32%, 32.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 33.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,47.77%,#REF!, 33.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 34.00 ,,,Gm,1000, 1.00 , 60.53 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 85.01 , 7.50 , 92.51 , 12.75 , 105.27 ,58%,54.77%,-2.73%, 34.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
